Aspects,Key Area,,No,Requirement,Keterangan ,Sample
,,,2,Menggunakan versi Hypervisor yang masih di support principal dan belum EOS,"Harus menggunakan versi Hypervisor yang masih didukung oleh principal dan belum mencapai End of Support (EOS). Dukungan dari principal mencakup pembaruan keamanan, pembaruan fitur, dan dukungan teknis. Menggunakan versi Hypervisor yang masih didukung memastikan infrastruktur virtualisasi aman, stabil, dan mendapatkan pembaruan yang diperlukan untuk operasional yang optimal.","- Daftar Hypervisor yang digunakan beserta versinya dan bukti bahwa versi tersebut masih didukung oleh principal
- Tautan atau dokumen dari principal yang menunjukkan status dukungan Hypervisor (bukti bahwa versi tersebut belum mencapai EOS)
- Laporan audit berkala yang memastikan semua Hypervisor yang digunakan masih dalam masa dukungan principal
- Bukti pembaruan ke versi terbaru Hypervisor yang masih dalam masa dukungan jika sebelumnya menggunakan versi yang mendekati EOS"
,,,3,Menggunakan Public Cloud sesuai dengan standart Regulatory (Server dan Layanan berada di Indonesia),"Harus menggunakan Public Cloud yang sesuai dengan standar regulasi yang berlaku, termasuk persyaratan bahwa server dan layanan harus berada di Indonesia. Hal ini bertujuan untuk memenuhi kepatuhan terhadap peraturan lokal terkait lokasi penyimpanan data, ketersediaan layanan, dan perlindungan data, terutama dalam sektor finansial dan kritikal. Mengikuti standar ini membantu memastikan bahwa data tetap aman dan dapat dikelola sesuai dengan hukum di Indonesia.","- Bukti kontrak atau perjanjian layanan (SLA) dengan penyedia Public Cloud yang menunjukkan lokasi server berada di Indonesia
- Dokumentasi terkait komitmen kepatuhan penyedia cloud terhadap peraturan yang berlaku di Indonesia
- Laporan audit yang memastikan kepatuhan terhadap standar regulasi terkait penggunaan Public Cloud
- Bukti konfigurasi layanan cloud yang menunjukkan lokasi data dan server berada di wilayah Indonesia"
,,,4,Memiliki Virtualisasi Multi Site (DC-DC /AZ1-AZ2-AZ3.dsb),"Harus memiliki sistem virtualisasi multi-site yang mencakup beberapa lokasi seperti Data Center ke Data Center (DC-DC) atau Availability Zones (AZ1, AZ2, AZ3) untuk memastikan ketersediaan layanan dan redundansi. Virtualisasi multi-site bertujuan untuk mengurangi risiko downtime dan memastikan operasional berkelanjutan jika terjadi gangguan pada salah satu lokasi. Sistem ini memungkinkan failover otomatis antara situs yang berbeda untuk menjaga keberlangsungan operasional bisnis.","- Dokumentasi arsitektur virtualisasi multi-site yang menunjukkan hubungan antar lokasi (DC-DC atau AZ)
- Bukti konfigurasi replication dan failover antara Data Center atau Availability Zones yang memastikan keberlangsungan layanan
- Laporan hasil pengujian failover secara berkala untuk memastikan bahwa virtualisasi multi-site bekerja dengan baik saat terjadi gangguan
- Dokumentasi prosedur manajemen dan pemeliharaan virtualisasi multi-site, termasuk langkah-langkah pemulihan dan pemantauan kinerja"
,,,5,Memisahkan Environment Production dan Development ,"Harus ada pemisahan lingkungan (environment) antara Production dan Development untuk memastikan keamanan, stabilitas, dan kualitas sistem yang digunakan dalam operasional bisnis. Pemisahan ini mencegah dampak perubahan atau eksperimen di lingkungan development terhadap sistem yang beroperasi dalam production, dan memastikan bahwa uji coba atau pengembangan tidak mengganggu layanan yang sedang berjalan.","- Dokumentasi arsitektur IT yang menunjukkan pemisahan fisik atau logis antara Production dan Development environment
- Bukti konfigurasi segregasi jaringan untuk memisahkan lingkungan Production dari Development
- Laporan hasil audit yang menunjukkan kepatuhan terhadap pemisahan lingkungan
- Prosedur yang digunakan untuk memastikan bahwa akses ke lingkungan Production dan Development hanya diberikan kepada personel yang relevan dengan lingkungan tersebut"
,,,6,Memiliki Server Production di dua site (DC-DC/AZ1-AZ2-AZ3 dsb),"Harus memiliki server production yang terdistribusi di dua site berbeda, seperti Data Center ke Data Center (DC-DC) atau Availability Zones (AZ1, AZ2, AZ3) untuk memastikan redundansi dan ketersediaan layanan yang optimal. Dengan adanya server di dua lokasi, risiko downtime dapat diminimalkan karena sistem dapat failover ke lokasi lain jika terjadi gangguan di salah satu site.","- Dokumentasi arsitektur server production yang menunjukkan distribusi server di dua site (misalnya DC-DC atau AZ)
- Bukti konfigurasi replication dan failover yang memastikan ketersediaan server di kedua site
- Laporan hasil pengujian failover secara berkala yang menunjukkan kesiapan server production untuk mengambil alih jika terjadi gangguan
- Bukti audit atau laporan kepatuhan terhadap standar ketersediaan, yang menunjukkan bahwa server production terdistribusi di dua lokasi"
,,,7,Production Database memiliki konfigurasi minimal Active-Standby untuk multisite,"Harus ada konfigurasi minimal Active-Standby untuk Production Database di multisite guna memastikan ketersediaan data dan kelangsungan layanan. Konfigurasi Active-Standby memungkinkan database di satu site berfungsi sebagai Active untuk melayani operasi, sementara database di site lain berfungsi sebagai Standby yang dapat mengambil alih operasi jika site utama mengalami gangguan. Ini memberikan redundansi dan memastikan data tetap tersedia tanpa gangguan yang signifikan.","- Dokumentasi arsitektur database yang menunjukkan konfigurasi Active-Standby di dua site berbeda
- Bukti konfigurasi replication antara database Active dan Standby, termasuk teknologi yang digunakan (misalnya synchronous/asynchronous replication)
- Laporan hasil pengujian failover yang menunjukkan bahwa database Standby dapat berfungsi sebagai Active saat diperlukan
- Laporan audit atau bukti monitoring status antara database Active dan Standby untuk memastikan kedua site selalu sinkron dan siap melakukan failover"
,,,8,"Menggunakan CMP / Portal untuk management (create,update resource capacity)  Server","Harus menggunakan Cloud Management Platform (CMP) atau Portal untuk manajemen server, termasuk untuk membuat, memperbarui, atau mengelola kapasitas sumber daya server. CMP/Portal memudahkan proses manajemen server, memungkinkan provisioning, scaling, dan monitoring sumber daya server secara efisien. Ini juga membantu meningkatkan visibilitas dan kontrol terhadap lingkungan infrastruktur IT, serta memastikan optimalisasi sumber daya yang ada.","- Screenshot atau dokumentasi dari CMP/Portal yang menunjukkan proses create atau update resource capacity server
- Bukti penggunaan CMP/Portal dalam bentuk log aktivitas atau laporan audit yang mencakup operasi manajemen server
- Laporan hasil penggunaan kapasitas yang dihasilkan dari CMP/Portal untuk memastikan bahwa sumber daya dikelola secara optimal
- Dokumentasi prosedur penggunaan CMP/Portal, termasuk langkah-langkah untuk membuat atau memperbarui server dan mengelola kapasitasnya"
,,,9,Memiliki Service Katalog Operating System dengan versi yang terupdate,"Harus ada service katalog yang mencakup daftar Operating System (OS) dengan versi yang terupdate untuk memastikan bahwa semua sistem operasi yang digunakan selalu sesuai dengan standar keamanan dan performa terkini. Service katalog ini bertujuan untuk memberikan panduan tentang versi OS yang direkomendasikan dan memastikan bahwa sistem menggunakan versi yang masih mendapatkan dukungan dari vendor, sehingga memenuhi persyaratan keamanan dan operasional.","- Dokumentasi Service Katalog OS yang mencakup daftar OS dan versi yang terupdate, termasuk detail mengenai dukungan dan masa end of support
- Bukti pembaruan Service Katalog secara berkala untuk mencakup versi terbaru yang direkomendasikan
- Laporan audit atau bukti kepatuhan terhadap penggunaan versi OS yang sesuai dengan katalog
- Screenshot atau bukti dari sistem manajemen aset yang menunjukkan bahwa semua server menggunakan OS sesuai dengan Service Katalog"
,,,10,Melakukan Standarisasi Host dan Storage dengan Multiple Brand dalam suatu Cluster/Tier,"Harus melakukan standarisasi host dan storage menggunakan multiple brand dalam suatu cluster/tier untuk memastikan kompatibilitas, konsistensi, dan optimalisasi performa. Standarisasi ini memungkinkan penggunaan perangkat dari beberapa vendor untuk meningkatkan fleksibilitas, redundansi, dan efisiensi biaya. Dengan standarisasi yang baik, risiko ketidakcocokan antara perangkat dapat diminimalkan, dan pengelolaan infrastruktur menjadi lebih mudah dan efisien.","- Dokumentasi arsitektur infrastruktur yang menunjukkan standarisasi penggunaan host dan storage dari beberapa vendor dalam cluster/tier yang sama
- Bukti pengujian kompatibilitas antara host dan storage dari berbagai brand untuk memastikan standarisasi berjalan dengan baik
- Laporan audit atau bukti monitoring performa yang menunjukkan efektivitas standarisasi dalam cluster/tier
- Dokumentasi prosedur standarisasi yang mencakup langkah-langkah dalam memilih, menguji, dan mengelola host dan storage dari berbagai brand"
,,,11,"Memisahkan Segmentasi Network, Host, Storage/Datastore VM berdasarkan Tiering Aplikasi","Harus ada pemisahan segmentasi untuk network, host, storage/datastore VM berdasarkan tiering aplikasi guna memastikan keamanan, kinerja, dan pengelolaan yang lebih baik. Pemisahan ini bertujuan untuk memberikan isolasi antar aplikasi yang memiliki tingkatan atau prioritas berbeda (misalnya tier critical, tier non-critical), sehingga meminimalkan risiko gangguan dan memberikan alokasi sumber daya yang optimal sesuai kebutuhan setiap tier.","- Dokumentasi arsitektur yang menunjukkan pemisahan segmentasi untuk network, host, dan storage/datastore VM berdasarkan tiering aplikasi
- Bukti konfigurasi segregasi jaringan antara tier aplikasi, termasuk VLAN atau subnet untuk setiap tier
- Laporan hasil audit yang menunjukkan kepatuhan terhadap pemisahan segmentasi sesuai dengan tiering aplikasi
- Screenshot atau bukti konfigurasi host dan storage yang menunjukkan tiering aplikasi untuk memastikan isolasi dan pemanfaatan sumber daya yang sesuai"
,,,12,Menggunakan OS Server/VM dengan support enterprise,"Harus menggunakan Operating System (OS) untuk Server/VM yang memiliki support enterprise guna memastikan dukungan teknis, keamanan, dan pembaruan fitur yang sesuai dengan standar industri. Dukungan enterprise memberikan pembaruan keamanan reguler, bantuan dari vendor dalam hal troubleshooting, serta stabilitas operasional yang lebih tinggi. OS dengan support enterprise sangat penting untuk mendukung aplikasi kritikal dan memastikan ketersediaan layanan.","- Dokumentasi mengenai OS Server/VM yang digunakan, termasuk bukti bahwa OS tersebut memiliki support enterprise
- Bukti kontrak support enterprise dari vendor OS, yang mencakup durasi dukungan dan layanan yang diberikan
- Laporan audit kepatuhan yang menunjukkan bahwa semua server menggunakan OS dengan support enterprise
- Screenshot atau dokumentasi yang menunjukkan pembaruan keamanan yang diberikan oleh vendor OS dalam rangka support enterprise"
,,,13,Memiliki strategi backup  virtualisasi dan policy,"Harus ada strategi backup yang jelas untuk lingkungan virtualisasi beserta policy yang mengatur proses backup. Strategi ini mencakup metode full backup, incremental, atau differential, serta jadwal backup dan retensi data. Policy backup bertujuan untuk memastikan bahwa seluruh lingkungan virtualisasi, termasuk VM, datastore, dan konfigurasi dapat dipulihkan dalam waktu singkat ketika terjadi gangguan. Strategi ini harus mempertimbangkan redundansi, keamanan, dan recovery time objectives (RTO) serta recovery point objectives (RPO).","- Dokumentasi strategi backup virtualisasi yang menjelaskan metode backup (full, incremental, differential), jadwal backup, serta retensi data
- Bukti policy backup yang mengatur pelaksanaan backup, otorisasi, dan prosedur pemulihan
- Laporan hasil audit terkait kepatuhan terhadap strategi backup dan implementasi policy
- Screenshot atau bukti dari tools backup yang digunakan, serta hasil monitoring keberhasilan backup secara periodik"
,,,14,"Memiliki Tools Monitoring Hypervisor, SDN & VM","Harus ada tools monitoring yang digunakan untuk memantau Hypervisor, Software-Defined Network (SDN), dan Virtual Machine (VM) guna memastikan kinerja, keamanan, dan ketersediaan sistem tetap optimal. Tools monitoring ini harus mampu memberikan notifikasi proaktif terkait potensi masalah, seperti utilisasi sumber daya, gangguan jaringan, dan status VM. Tools monitoring juga membantu dalam proses troubleshooting dan memastikan seluruh infrastruktur virtual bekerja sesuai dengan yang diharapkan.","- Screenshot atau dokumentasi dari tools monitoring yang digunakan untuk Hypervisor, SDN, dan VM, termasuk fitur monitoring yang tersedia
- Bukti konfigurasi notifikasi proaktif terkait potensi masalah pada Hypervisor, SDN, dan VM
- Laporan monitoring yang menunjukkan hasil pemantauan kinerja, utilisasi sumber daya, dan status VM secara berkala
- Dokumentasi prosedur troubleshooting berdasarkan data yang dihasilkan oleh tools monitoring, termasuk langkah-langkah penyelesaian masalah"
,,,15,Membuat Policy terkait rasio Physical dan Virtual CPU sesuai dengan kebutuhan,"Harus ada policy yang mengatur rasio antara Physical CPU (pCPU) dan Virtual CPU (vCPU) berdasarkan kebutuhan beban kerja dan best practice. Policy ini bertujuan untuk mengoptimalkan penggunaan sumber daya fisik pada host, serta memastikan performa yang stabil dan sesuai untuk setiap Virtual Machine (VM). Dengan rasio yang tepat, utilisasi CPU dapat dimaksimalkan tanpa mengorbankan kinerja aplikasi yang berjalan pada VM. Policy harus mencakup rasio yang diizinkan untuk berbagai jenis beban kerja, serta metode evaluasi yang digunakan untuk menentukan kebutuhan CPU.","- Dokumen policy rasio pCPU dan vCPU yang mencakup detail rasio yang dianjurkan sesuai dengan jenis beban kerja
- Bukti konfigurasi rasio pCPU ke vCPU pada Hypervisor yang sesuai dengan policy yang telah dibuat
- Laporan audit terkait kepatuhan terhadap policy rasio CPU dan evaluasi penggunaan CPU
- Bukti hasil evaluasi performa yang menunjukkan dampak penerapan rasio CPU terhadap beban kerja VM, termasuk data sebelum dan sesudah penerapan"
,,,16,Melakukan Preventive Maintenance minimal 1 Bulan sekali sesuai dengan poin P4.8,"Harus melakukan Preventive Maintenance pada seluruh infrastruktur IT secara berkala, minimal 1 bulan sekali sesuai dengan poin P4.8. Preventive Maintenance bertujuan untuk memeriksa, membersihkan, dan melakukan penggantian komponen jika diperlukan guna mencegah terjadinya kerusakan mendadak yang dapat mengganggu operasional. Pemeliharaan ini mencakup server, storage, jaringan, dan komponen pendukung lainnya untuk memastikan semuanya tetap berfungsi optimal.","- Jadwal Preventive Maintenance bulanan yang mencakup seluruh infrastruktur sesuai dengan poin P4.8
- Bukti pelaksanaan Preventive Maintenance, seperti laporan hasil inspeksi, checklist pemeliharaan, atau bukti penggantian komponen
- Laporan audit yang memastikan kepatuhan terhadap jadwal Preventive Maintenance dan efektivitasnya dalam menjaga kondisi infrastruktur
- Dokumentasi prosedur Preventive Maintenance yang mencakup langkah-langkah pemeliharaan, frekuensi, dan tanggung jawab tiap personel"
,,,17,Melakukan Patching berkala untuk Management Platform Virtualisasi / Cloud,"Harus melakukan patching berkala untuk Management Platform Virtualisasi/Cloud guna memastikan sistem tetap aman dan terkini dengan pembaruan terbaru dari vendor. Patching ini mencakup perbaikan keamanan, pembaruan fitur, dan peningkatan performa untuk platform manajemen yang mengelola infrastruktur virtualisasi atau cloud. Patching berkala sangat penting untuk mengurangi risiko kerentanan yang dapat dimanfaatkan oleh pihak yang tidak berwenang dan menjaga stabilitas sistem manajemen.","- Jadwal patching berkala untuk Management Platform Virtualisasi/Cloud yang menunjukkan frekuensi dan jenis pembaruan yang dilakukan
- Bukti pelaksanaan patching, seperti log patching, laporan pembaruan yang berhasil diterapkan, atau screenshot dari platform yang menunjukkan versi terbaru setelah patching
- Laporan audit yang memastikan kepatuhan terhadap jadwal patching berkala
- Dokumentasi prosedur patch management, termasuk langkah-langkah untuk melakukan patching, mitigasi risiko, dan rollback jika terjadi masalah saat patching"
,,,18,Memiliki Previllage Access Management yang Tersentralisasi,"Harus memiliki sistem Privilege Access Management (PAM) yang tersentralisasi untuk mengelola akses privilege atau akses istimewa ke sistem yang kritikal. PAM tersentralisasi memastikan bahwa akses ke akun dengan hak istimewa dikelola dengan aman, meminimalkan risiko penyalahgunaan, dan memungkinkan monitoring, recording, serta audit aktivitas privileged user. Fitur PAM meliputi credential vaulting, session management, activity monitoring, dan dual approval untuk akses kritis.","- Dokumentasi arsitektur PAM yang menunjukkan bahwa sistem PAM terpusat digunakan untuk seluruh akun privilege
- Bukti konfigurasi PAM, seperti screenshot dari dashboard PAM yang menunjukkan penggunaan centralized PAM untuk mengelola akses istimewa
- Laporan hasil audit PAM yang menunjukkan efektivitas pengelolaan dan monitoring akses privilege
- Bukti penggunaan fitur PAM seperti credential vaulting, session recording, dan dual approval untuk mengontrol dan mengamankan akses privileged user"
,,,19,Memiliki Tim Support 7 X 24 Jam,"Harus ada tim support yang siap bertugas 7 x 24 jam untuk memastikan dukungan operasional infrastruktur TI dapat diberikan kapan saja, terutama pada situasi kritikal yang memerlukan penanganan segera. Tim support ini harus memiliki kemampuan untuk menangani insiden, pemeliharaan, dan respon cepat terhadap masalah yang mungkin terjadi di luar jam kerja normal. Layanan ini memastikan ketersediaan dan kelangsungan operasional yang optimal.","- Jadwal tugas tim support yang menunjukkan pembagian waktu 7 x 24 jam secara berkelanjutan
- Bukti adanya contact center atau hotline yang dapat dihubungi kapan saja, seperti nomor telepon atau sistem tiket
- Laporan hasil respon insiden yang menunjukkan adanya penanganan masalah oleh tim support di luar jam kerja
- Dokumentasi SOP tim support yang mencakup tanggung jawab tim, alur komunikasi, dan prosedur penanganan insiden untuk memastikan respon cepat"
P2 Network,P2.1 Segmentasi Network,,1,Memiliki segmentasi yang berbeda untuk environment network production dengan development secara physical ataupun logical,"Harus ada segmentasi yang berbeda antara network production dan network development baik secara fisik maupun logis untuk memastikan keamanan dan isolasi antara kedua environment. Hal ini bertujuan untuk mencegah dampak perubahan di environment development terhadap production, sehingga meningkatkan stabilitas dan mengurangi risiko terjadinya gangguan operasional pada sistem yang kritikal.","- Dokumentasi arsitektur jaringan yang menunjukkan segmentasi antara production dan development environment
- Bukti konfigurasi jaringan, seperti VLAN atau subnet yang berbeda untuk memisahkan kedua environment
- Laporan audit yang menunjukkan kepatuhan terhadap segregasi jaringan antara production dan development
- Screenshot dari tools monitoring jaringan yang menunjukkan perbedaan segmentasi untuk kedua environment"
,,,2,Memiliki segmentasi perangkat jaringan sesuai dengan fungsi,"Harus ada segmentasi perangkat jaringan yang dilakukan sesuai dengan fungsi dari masing-masing perangkat, seperti router, switch, firewall, dan perangkat lainnya. Segmentasi ini bertujuan untuk memastikan keamanan, efisiensi, dan pemeliharaan yang lebih mudah karena setiap perangkat dikelompokkan berdasarkan fungsi tertentu dalam arsitektur jaringan.","- Dokumentasi topologi jaringan yang menunjukkan segmentasi perangkat sesuai dengan fungsinya
- Bukti konfigurasi segregasi perangkat jaringan yang mengelompokkan router, switch, firewall, dll. berdasarkan fungsinya
- Laporan audit yang memastikan penerapan segmentasi perangkat sesuai dengan fungsinya
- Screenshot dari tools monitoring yang menunjukkan segmentasi perangkat berdasarkan fungsinya"
,P2.2 Koneksi Link & Perangkat,,1,Melakukan pengamanan seluruh perangkat jaringan dan kabel yang terpasang sesuai ketentuan IT Security,"Harus melakukan pengamanan perangkat jaringan dan kabel sesuai dengan ketentuan IT Security untuk melindungi infrastruktur dari ancaman fisik maupun logis. Pengamanan ini mencakup penggunaan cable management, access control pada perangkat jaringan, serta monitoring akses fisik untuk mencegah modifikasi atau akses tidak sah.","- Dokumentasi kebijakan pengamanan jaringan yang mencakup standar pengamanan fisik dan logis perangkat serta kabel
- Bukti implementasi cable management dan penggunaan perangkat pengamanan fisik, seperti kunci rak server
- Laporan hasil audit pengamanan jaringan yang memastikan bahwa pengamanan dilakukan sesuai ketentuan IT Security
- Foto atau bukti fisik dari implementasi pengamanan perangkat dan kabel yang sesuai dengan kebijakan"
,,,2,"Seluruh perangkat jaringan menggunakan versi OS, Firmware, & Device yang masih di support oleh principal","Harus memastikan bahwa seluruh perangkat jaringan menggunakan versi OS, Firmware, & Device yang masih didukung oleh principal untuk memastikan adanya pembaruan keamanan dan dukungan teknis. Dukungan ini penting untuk menghindari kerentanan akibat penggunaan perangkat dengan dukungan yang sudah habis (End of Support).","- Daftar perangkat jaringan beserta versi OS dan firmware yang digunakan, termasuk bukti bahwa perangkat tersebut masih mendapatkan dukungan dari principal
- Bukti konfigurasi perangkat yang menunjukkan versi OS dan firmware yang digunakan
- Laporan audit yang memastikan kepatuhan penggunaan perangkat dengan versi yang didukung
- Tautan atau dokumentasi dari vendor principal yang menunjukkan status dukungan untuk perangkat tersebut"
,,,3,Memiliki BOX Fisik yang redundan,"Harus ada BOX fisik yang redundan untuk mendukung keberlanjutan layanan apabila terjadi kegagalan pada BOX utama. Redundansi BOX fisik ini memungkinkan sistem untuk tetap berjalan jika terjadi masalah, sehingga meningkatkan ketersediaan dan resiliensi infrastruktur jaringan.","- Dokumentasi arsitektur yang menunjukkan keberadaan BOX fisik yang redundan dalam infrastruktur jaringan
- Foto atau bukti fisik dari BOX redundan yang terpasang bersama BOX utama
- Laporan hasil pengujian failover dari BOX utama ke BOX redundan untuk memastikan kesiapan jika terjadi kegagalan
- Dokumentasi prosedur manajemen BOX redundan, termasuk langkah pemeliharaan dan pengujian periodik"
,,,4,Memiliki Power Supply yang redundan,"Harus memiliki Power Supply yang redundan untuk memastikan bahwa perangkat jaringan tetap berfungsi saat terjadi kegagalan pada sumber daya listrik utama. Redundansi Power Supply ini sangat penting untuk menjaga ketersediaan perangkat, khususnya pada komponen jaringan yang kritikal.","- Dokumentasi konfigurasi Power Supply yang menunjukkan keberadaan unit redundan pada perangkat jaringan
- Foto perangkat jaringan dengan Power Supply redundan terpasang
- Laporan hasil pengujian failover dari Power Supply utama ke Power Supply redundan
- Dokumentasi prosedur pemeliharaan untuk Power Supply, termasuk langkah pemeliharaan dan pengujian periodik untuk memastikan keandalan"
,,,5,Memiliki standarisasi tipe kabel dan wireless yang digunakan,"Harus ada standarisasi tipe kabel dan wireless yang digunakan untuk memastikan kualitas koneksi dan keamanan jaringan yang konsisten di seluruh infrastruktur. Standarisasi ini mencakup jenis kabel, seperti Cat6, Cat6a, fiber optic, dan standar wireless yang sesuai dengan kebutuhan konektivitas dan skenario penggunaan di lapangan.","- Dokumen standarisasi tipe kabel dan wireless yang menunjukkan spesifikasi kabel dan perangkat wireless yang harus digunakan
- Bukti penerapan standarisasi pada infrastruktur jaringan dengan foto atau catatan inventaris
- Laporan audit yang menunjukkan kepatuhan terhadap standarisasi kabel dan wireless
- Dokumentasi prosedur pemilihan dan pemasangan kabel dan perangkat wireless berdasarkan standar yang ditetapkan"
,,,6,Memiliki standarisasi bandwidth WAN di setiap lokasi kerja dialokasikan berdasarkan jumlah user dan atau jumlah aplikasi yang diakses user,"Harus ada standarisasi bandwidth WAN di setiap lokasi kerja yang dialokasikan sesuai dengan jumlah user dan jumlah aplikasi yang diakses. Standarisasi ini memastikan ketersediaan bandwidth yang cukup untuk mendukung operasional harian, meningkatkan pengalaman user, serta meminimalkan gangguan akibat kurangnya alokasi bandwidth.","- Dokumen standarisasi alokasi bandwidth WAN yang menunjukkan kriteria alokasi berdasarkan jumlah user dan aplikasi
- Bukti konfigurasi bandwidth management untuk masing-masing lokasi kerja
- Laporan audit terkait kepatuhan terhadap standarisasi bandwidth WAN di berbagai lokasi
- Hasil monitoring performa jaringan yang menunjukkan kecukupan bandwidth untuk user dan aplikasi"
,,,7,Memiliki standarisasi bandwidth Internet berdasarkan segmentasi Internet Office dan e-Commerce dan disesuaikan dengan aplikasi yang di akses user,"Harus ada standarisasi bandwidth Internet berdasarkan segmentasi seperti Internet Office dan e-Commerce, serta disesuaikan dengan aplikasi yang diakses user. Standarisasi ini memastikan bahwa alokasi bandwidth memenuhi kebutuhan setiap segmentasi, sehingga kualitas layanan tetap optimal.","- Dokumen standarisasi bandwidth Internet yang menunjukkan segmentasi antara Internet Office dan e-Commerce
- Bukti konfigurasi bandwidth management yang disesuaikan dengan aplikasi yang diakses oleh user
- Laporan hasil audit kepatuhan terhadap alokasi bandwidth yang sesuai dengan segmentasi
- Hasil monitoring performa jaringan yang menunjukkan efektivitas alokasi bandwidth pada masing-masing segmentasi"
,,,8,Memiliki standarisasi jumlah concurrent call berdasarkan jumlah user dan atau jumlah aplikasi yang digunakan user,Harus ada standarisasi jumlah concurrent call yang dapat dilayani berdasarkan jumlah user dan jumlah aplikasi yang digunakan untuk memastikan bahwa layanan telekomunikasi dapat berjalan lancar tanpa gangguan. Standarisasi ini penting untuk menjaga kualitas voice communication dan menghindari bottleneck pada saat pengguna melakukan panggilan bersamaan.,"- Dokumen standarisasi concurrent call yang menunjukkan alokasi jumlah panggilan yang dapat dilayani sesuai dengan jumlah user dan aplikasi
- Laporan hasil audit untuk memastikan penerapan standarisasi concurrent call
- Bukti konfigurasi di perangkat telekomunikasi yang menunjukkan batasan jumlah concurrent call sesuai standar
- Hasil monitoring telekomunikasi yang menunjukkan performa saat concurrent call mendekati batas alokasi"
,,,9,Memiliki backup link berdasarkan klasifikasi unit kerja atau Point of Sales,Harus ada backup link yang disediakan berdasarkan klasifikasi unit kerja atau Point of Sales (PoS) untuk memastikan ketersediaan jaringan saat terjadi gangguan pada link utama. Backup link ini memungkinkan redundansi dan menjaga operasional tetap berjalan tanpa gangguan.,"- Dokumentasi arsitektur jaringan yang menunjukkan keberadaan backup link di setiap unit kerja atau PoS sesuai dengan klasifikasinya
- Bukti konfigurasi failover untuk memastikan backup link dapat mengambil alih saat main link mengalami masalah
- Laporan audit yang menunjukkan kepatuhan terhadap penyediaan backup link sesuai klasifikasi unit kerja/PoS
- Hasil pengujian failover dari main link ke backup link untuk memastikan kelangsungan layanan"
,,,10,"Menggunakan Backup link dengan provider yang berbeda dari main link, jika tidak memungkinan maka menggunakan provider yang sama dengan media akses yang berbeda","Harus menggunakan backup link dengan provider yang berbeda dari main link untuk meningkatkan redundansi, atau jika tidak memungkinkan, menggunakan provider yang sama tetapi dengan media akses yang berbeda. Hal ini bertujuan untuk meminimalkan risiko downtime yang diakibatkan oleh kegagalan pada satu provider atau jenis media.","- Bukti penggunaan provider berbeda antara main link dan backup link, seperti dokumen kontrak atau billing statement
- Bukti konfigurasi jaringan yang menunjukkan perbedaan media akses jika provider yang sama digunakan (misalnya main link menggunakan fiber optic dan backup menggunakan radio link)
- Laporan hasil audit yang memastikan penggunaan provider atau media akses berbeda sesuai ketentuan
- Dokumentasi prosedur failover yang mencakup konfigurasi untuk menggunakan backup link jika terjadi kegagalan pada main link"
,,,11,Memiliki standarisasi penggunaan teknologi dan media jaringan komunikasi disesuaikan dengan kebutuhan operasional,"Harus ada standarisasi penggunaan teknologi dan media jaringan komunikasi yang disesuaikan dengan kebutuhan operasional untuk memastikan penggunaan infrastruktur yang optimal, efisien, dan sesuai dengan kapasitas yang dibutuhkan. Standarisasi ini harus mencakup teknologi seperti fiber optic, wireless, leased line, dan radio link, yang dipilih berdasarkan skenario penggunaan dan kebutuhan operasional di setiap lokasi.","- Dokumen standarisasi teknologi dan media jaringan yang menunjukkan spesifikasi teknologi yang digunakan berdasarkan kebutuhan operasional
- Bukti implementasi standarisasi pada infrastruktur di berbagai lokasi
- Laporan audit yang memastikan kepatuhan terhadap standarisasi penggunaan teknologi dan media jaringan
- Foto atau bukti fisik dari teknologi jaringan yang digunakan, seperti instalasi kabel fiber optic atau perangkat wireless"
,,,12,Memiliki Tim untuk melakukan monitoring dan support operasional selama 7 x 24,"Harus ada tim monitoring dan support operasional yang bekerja 7 x 24 jam untuk memastikan ketersediaan dan kelangsungan operasional infrastruktur IT. Tim ini bertanggung jawab untuk memantau kondisi jaringan, menangani insiden, serta memberikan respon cepat terhadap masalah yang mungkin terjadi setiap saat, termasuk di luar jam kerja.","- Jadwal tugas tim monitoring dan support yang menunjukkan pembagian waktu kerja 7 x 24 jam secara berkelanjutan
- Bukti keberadaan contact center atau hotline yang dapat dihubungi kapan saja, seperti nomor telepon atau sistem tiket
- Laporan hasil respon insiden yang menunjukkan adanya penanganan masalah di luar jam kerja
- Dokumentasi SOP tim support yang mencakup alur kerja, tanggung jawab tim, dan prosedur penanganan insiden secara cepat"
